			Domain: SAT	Domain: Ketoacyl-synt-N	Domain: Ketoacyl-synt-C	Domain: Acyl-tranferase	Domain: PT-fungal-PKS	Domain: PP-binding	Domain: AllPKSDomains_presentAbsent	Domain: Hydroxynapthalene-reductase	Domain: Scytalone-dehydratase	Domain: Tyrosinase	Domain: 4HPPD
Species: Cladophialophora-carrionii	Phylum: Ascomycota	Order: Chaetothyriales	-71.02687214640031	-79.46852108295775	-35.55284196865778	-91.07058107428571	-112.06048074738138	-54.72124639904717	100	-137.01772876696043	-80.60205999132796	-53.214670164989236	-138.33724216831843
Species: Clathrospora-elynae	Phylum: Ascomycota	Order: Pleosporales	-80.20760831050174	-77.33724216831843	-37.74472749489669	-88.79588001734407	-114.95860731484177	-73.95860731484177	100	-132.95860731484177	-84.29242982390207	-52.236572006437065	-141.1938200260161
Species: Cladosporium-fulvum	Phylum: Ascomycota	Order: Capnodiales	-79.45593195564973	-83.06048074738138	-36.88605664769317	-88.95860731484177	-114.06550154875643	-56.88605664769317	100	-137.23657200643706	-83.50863830616572	-53.408935392973504	-134.88605664769315
Species: Cladonia-grayi	Phylum: Ascomycota	Order: Lecanorales	-70.60205999132796	-82.46852108295775	-38.88605664769317	-88.56863623584101	-130.6777807052661	-27.0	100	-125.13076828026902	-88.25963731050575	-54.38721614328026	0
Species: Cladophialophora-immunda	Phylum: Ascomycota	Order: Chaetothyriales	-72.46852108295775	-80.48148606012211	-36.619788758288394	-91.56863623584101	-108.33724216831843	-53.95860731484178	100	-137.6575773191778	-83.23657200643706	-53.337242168318426	-141.0409586076789
Species: Clavispora-lusitaniae	Phylum: Ascomycota	Order: Saccharomycetales	-41.95860731484178	-53.036212172654444	-37.0	-94.53760200210104	0	-12.522878745280337	0	0	0	0	-95.22184874961636
Species: Cladochytrium-polystomum	Phylum: Chytridiomycota	Order: Cladochytriales	-29.853871964321762	-54.537602002101046	-38.39794000867204	-72.7447274948967	0	-44.88605664769317	0	0	0	-48.795880017344075	-134.45593195564973
Species: Cladophialophora-psammophila	Phylum: Ascomycota	Order: Chaetothyriales	-71.95860731484177	-78.50863830616572	-34.72124639904717	-90.56863623584101	-106.25963731050575	-53.420216403383186	100	-137.34678748622466	-83.22914798835785	-52.619788758288394	-140.0705810742857
Species: Clavicorona-pyxidata	Phylum: Basidiomycota	Order: Russulales	-30.55284196865778	-79.15490195998575	-36.236572006437065	-68.79588001734407	-69.30980391997149	-36.50863830616573	100	-72.07058107428571	0	-53.67778070526608	0
Species: Cladosporium-sphaerospermum	Phylum: Ascomycota	Order: Capnodiales	-77.0	-76.95860731484177	-38.221848749616356	-88.88605664769317	-115.2839966563652	-53.080921907623924	100	-138.0	-82.16749108729377	-54.32790214206428	0
Species: Cladophialophora-yegresii	Phylum: Ascomycota	Order: Chaetothyriales	-70.65757731917779	-73.60205999132796	-34.85387196432176	-91.13667713987954	-112.45593195564972	-55.20760831050175	100	-137.1191864077192	-80.82390874094432	-53.036212172654444	-138.76955107862173
Species: Climacocystis-borealis	Phylum: Basidiomycota	Order: Polyporales	-36.19382002601611	-82.88605664769317	-30.522878745280337	-66.88605664769317	0	-29.356547323513812	0	-59.29242982390206	0	-33.74472749489669	0
Species: Clitocybe-gibba	Phylum: Basidiomycota	Order: Agaricales	-33.214670164989236	-79.05551732784983	-36.29242982390206	-69.24412514432751	-65.95860731484177	-34.72124639904717	100	-63.95860731484178	0	-23.24412514432751	0
Species: Clohesyomyces-aquaticus	Phylum: Ascomycota	Order: Pleosporales	-78.07058107428571	-85.14874165128093	-40.46852108295774	-90.4202164033832	-119.30980391997149	-130.431798275933	100	-133.82390874094432	-88.20760831050174	-54.31875876262441	-142.13667713987954
Species: Clonostachys-rosea	Phylum: Ascomycota	Order: Hypocreales	-36.85387196432176	-76.67778070526609	-40.221848749616356	-88.60205999132796	0	-202.95860731484177	0	-111.27572413039921	0	-54.32790214206428	-132.88605664769315
Species: Coccodinium-bartschii	Phylum: Ascomycota	Order: Chaetothyriales	-68.69897000433602	-74.01322826573376	-41.32790214206428	-92.1249387366083	-118.29242982390207	-127.18708664335715	100	-134.53760200210104	-82.92081875395237	-51.72124639904717	-136.45593195564973
Species: Cochliobolus-carbonum	Phylum: Ascomycota	Order: Pleosporales	-82.82390874094432	-81.88605664769317	-39.420216403383186	-86.67778070526609	-116.55284196865779	-71.30102999566398	100	-132.3665315444204	-83.7447274948967	-54.95860731484178	-141.88605664769315
Species: Cochliobolus-heterostrophus	Phylum: Ascomycota	Order: Pleosporales	-82.26760624017703	-83.72124639904717	-40.769551078621724	-86.7447274948967	-116.45593195564973	-68.58502665202919	100	-132.6777807052661	-82.76955107862173	-55.00436480540245	-141.6197887582884
Species: Cochliobolus-heterostrophus	Phylum: Ascomycota	Order: Pleosporales	-82.2518119729938	-83.69897000433602	-40.769551078621724	-86.72124639904717	-116.431798275933	-68.55284196865779	100	-132.6575773191778	-83.7447274948967	-55.0	-141.60205999132796
Species: Coccidioides-immitis	Phylum: Ascomycota	Order: Onygenales	-71.08618614761629	-82.3767507096021	-38.69897000433602	-93.05060999335508	-83.46852108295775	-91.7447274948967	100	0	0	-54.38721614328026	-147.88605664769315
Species: Cochliobolus-lunatus	Phylum: Ascomycota	Order: Pleosporales	-79.85387196432177	-78.08618614761629	-37.031517051446066	-86.79588001734407	-115.79588001734407	-73.46852108295775	100	-132.85387196432177	-83.88605664769317	-54.08618614761628	-140.6777807052661
Species: Cochliobolus-miyabeanus	Phylum: Ascomycota	Order: Pleosporales	-83.53760200210104	-82.18708664335715	-41.920818753952375	-86.76955107862173	-116.30980391997149	-72.20065945054642	100	-132.1079053973095	-82.0	-54.95860731484178	-141.60205999132796
Species: Cochliobolus-sativus	Phylum: Ascomycota	Order: Pleosporales	-83.4089353929735	-83.45593195564973	-41.32790214206428	-86.7447274948967	-116.39794000867204	-70.6197887582884	100	-132.23657200643706	-83.76955107862173	-54.69897000433602	-140.2441251443275
Species: Coccomyces-strobi	Phylum: Ascomycota	Order: Rhytismatales	-78.60205999132796	-80.34678748622466	-39.795880017344075	-89.21467016498923	-125.38721614328027	-63.16749108729376	100	-136.3565473235138	-72.76955107862173	-51.29242982390206	-130.38721614328026
Species: Cochliobolus-victoriae	Phylum: Ascomycota	Order: Pleosporales	-82.92081875395237	-83.25963731050575	-38.795880017344075	-86.60205999132796	-116.55284196865779	-70.58502665202919	100	-132.3665315444204	-83.7447274948967	-54.95860731484178	-141.88605664769315
Species: Chaetosphaeriaceae-sp.	Phylum: Ascomycota	Order: Chaetosphaeriales	-76.39794000867204	-79.03151705144606	-39.920818753952375	-87.0409586076789	-117.20065945054642	-92.76955107862173	100	-135.20760831050174	-91.33724216831843	-54.455931955649724	-132.79588001734407
Species: Coemansia-mojavensis	Phylum: Zoopagomycota	Order: Kickxellales	-27.886056647693163	-58.50863830616573	-38.88605664769317	-63.3767507096021	0	-14.017728766960431	0	0	0	-29.67778070526608	-127.11918640771921
Species: Coemansia-reversa	Phylum: Zoopagomycota	Order: Kickxellales	-25.920818753952375	-48.56863623584101	-37.44369749923271	-61.30102999566398	0	-13.142667503568731	0	0	0	-30.06048074738138	-127.67778070526609
Species: Coemansia-spiralis	Phylum: Zoopagomycota	Order: Kickxellales	-29.14266750356873	-59.67778070526608	-37.56863623584101	-63.16749108729376	0	-15.229147988357855	0	0	0	-29.657577319177793	-130.16115090926274
Species: Cokeromyces-recurvatus	Phylum: Mucoromycota	Order: Mucorales	-29.167491087293765	-63.72124639904717	-35.63827216398241	-73.6197887582884	0	-13.10790539730952	0	0	0	0	-128.6197887582884
Species: Colletotrichum-abscissum	Phylum: Ascomycota	Order: Glomerellales	-75.15490195998575	-76.67778070526609	-42.356547323513816	-88.44369749923271	-118.85387196432177	-54.74472749489669	100	-135.34678748622466	-95.72124639904717	-54.14266750356873	-135.52287874528034
Species: Colletotrichum-acutatum	Phylum: Ascomycota	Order: Glomerellales	-75.02227639471116	-81.34678748622466	-42.18708664335715	-88.50863830616572	-119.52287874528034	-57.337242168318426	100	-135.92081875395237	-96.95860731484177	-53.6575773191778	-136.04575749056067
Species: Colletotrichum-caudatum	Phylum: Ascomycota	Order: Glomerellales	-76.22184874961636	-79.15490195998575	-41.481486060122116	-87.7447274948967	-118.25963731050575	-126.92081875395237	100	-135.4814860601221	-93.95860731484177	-54.46852108295774	-133.3279021420643
Species: Colletotrichum-cereale	Phylum: Ascomycota	Order: Glomerellales	-75.46852108295775	-77.4948500216801	-41.585026652029185	-88.02687214640031	-117.95860731484177	-82.19382002601611	100	-135.58502665202917	-93.79588001734407	-53.32790214206428	-135.03151705144606
Species: Colletotrichum-chlorophyti	Phylum: Ascomycota	Order: Glomerellales	-76.2518119729938	-80.76955107862173	-41.95860731484178	-88.6382721639824	-117.53760200210104	-116.95860731484177	100	-137.05551732784983	-97.65757731917779	-54.24412514432751	-132.85387196432177
Species: Colletotrichum-costaricense	Phylum: Ascomycota	Order: Glomerellales	-75.16115090926274	-76.69897000433602	-42.356547323513816	-88.45593195564973	-118.7447274948967	-54.56863623584101	100	-135.4814860601221	-96.88605664769317	-54.06550154875643	-135.52287874528034
Species: Colletotrichum-cuscutae	Phylum: Ascomycota	Order: Glomerellales	-75.15490195998575	-76.82390874094432	-42.346787486224656	-88.44369749923271	-118.88605664769317	-54.50863830616573	100	-135.69897000433602	-96.69897000433602	-53.769551078621724	-135.18045606445813
Species: Colletotrichum-eremochloae	Phylum: Ascomycota	Order: Glomerellales	-75.4948500216801	-80.22914798835785	-43.00436480540245	-87.82390874094432	-119.02227639471116	-109.20065945054642	100	-136.16115090926274	-94.20065945054642	-55.50863830616573	-134.1191864077192
Species: Colletotrichum-falcatum	Phylum: Ascomycota	Order: Glomerellales	-74.85387196432177	-78.431798275933	-41.85387196432176	-88.18045606445813	-119.33724216831843	-127.4948500216801	100	-136.13667713987954	-94.14266750356873	-54.85387196432176	-133.0
Species: Colletotrichum-fioriniae	Phylum: Ascomycota	Order: Glomerellales	-75.2518119729938	-81.52287874528034	-42.46852108295774	-88.55284196865779	-119.16749108729377	-58.39794000867204	100	-135.95860731484177	-97.0	-53.455931955649724	-136.08618614761627
Species: Colletotrichum-godetiae	Phylum: Ascomycota	Order: Glomerellales	-74.60205999132796	-77.01772876696043	-42.20065945054642	-88.4948500216801	-118.4202164033832	-52.795880017344075	100	-135.568636235841	-96.92081875395237	-53.455931955649724	-135.76955107862173
Species: Colletotrichum-graminicola	Phylum: Ascomycota	Order: Glomerellales	-76.04575749056067	-80.92081875395237	-41.920818753952375	-87.79588001734407	-118.4948500216801	-85.0	100	-135.16749108729377	-93.65757731917779	-54.56863623584101	-133.4436974992327
Species: Colletotrichum-higginsianum	Phylum: Ascomycota	Order: Glomerellales	-76.2839966563652	-78.88605664769317	-41.769551078621724	-88.38721614328027	-118.50863830616572	-126.76955107862173	100	-135.76955107862173	-94.34678748622466	-53.95860731484178	-133.3187587626244
Species: Colletotrichum-incanum	Phylum: Ascomycota	Order: Glomerellales	-75.3767507096021	-77.4202164033832	-41.795880017344075	-88.2839966563652	-118.7447274948967	-123.06550154875643	100	-136.4089353929735	-96.1249387366083	-53.85387196432176	-133.29242982390207
Species: Colletotrichum-lupini	Phylum: Ascomycota	Order: Glomerellales	-75.20760831050174	-76.88605664769317	-42.44369749923271	-88.4948500216801	-118.16115090926274	-54.408935392973504	100	-135.92081875395237	-96.95860731484177	-53.85387196432176	-135.568636235841
Species: Colletotrichum-lupini	Phylum: Ascomycota	Order: Glomerellales	-75.01772876696043	-76.79588001734407	-42.32790214206428	-88.4202164033832	-117.95860731484177	-54.72124639904717	100	-135.6197887582884	-96.85387196432177	-53.920818753952375	-135.4948500216801
Species: Colletotrichum-melonis	Phylum: Ascomycota	Order: Glomerellales	-75.16749108729377	-76.7447274948967	-42.346787486224656	-88.45593195564973	-119.09691001300806	-54.0	100	-135.85387196432177	-96.92081875395237	-54.07572071393812	-135.16115090926274
Species: Colletotrichum-navitas	Phylum: Ascomycota	Order: Glomerellales	-75.20065945054642	-80.76955107862173	-41.82390874094432	-88.18708664335715	-118.76955107862173	-122.6197887582884	100	-135.60205999132796	-94.55284196865779	-54.39794000867204	-133.85387196432177
Species: Colletotrichum-nymphaeae	Phylum: Ascomycota	Order: Glomerellales	-75.23657200643706	-77.0	-42.481486060122116	-88.52287874528034	-119.34678748622466	-54.1249387366083	100	-121.08618614761629	-96.95860731484177	-54.0	-136.06550154875643
Species: Colletotrichum-orchidophilum	Phylum: Ascomycota	Order: Glomerellales	-74.56863623584101	-77.82390874094432	-42.080921907623924	-88.53760200210104	-117.4948500216801	-66.58502665202919	100	-136.08618614761627	-95.85387196432177	-52.795880017344075	-135.10237290870955
Species: Colletotrichum-orbiculare	Phylum: Ascomycota	Order: Glomerellales	-74.30102999566398	-80.01322826573376	-42.60205999132796	-88.22914798835785	-117.69897000433602	-52.161150909262744	100	-135.3187587626244	-98.92081875395237	-53.920818753952375	-131.4948500216801
Species: Colletotrichum-paranaense	Phylum: Ascomycota	Order: Glomerellales	-75.16749108729377	-76.76955107862173	-42.36653154442041	-88.45593195564973	-119.09691001300806	-50.283996656365204	100	-135.72124639904717	-96.56863623584101	-54.09151498112135	-135.20065945054642
Species: Colletotrichum-phormii	Phylum: Ascomycota	Order: Glomerellales	-74.6197887582884	-76.82390874094432	-42.221848749616356	-88.50863830616572	-119.02227639471116	-61.070581074285705	100	-135.58502665202917	-96.95860731484177	-53.85387196432176	-135.45593195564973
Species: Colletotrichum-salicis	Phylum: Ascomycota	Order: Glomerellales	-74.65757731917779	-81.09691001300806	-42.24412514432751	-88.55284196865779	-118.79588001734407	-52.82390874094432	100	-129.6777807052661	-97.0	-53.72124639904717	-135.3767507096021
Species: Colletotrichum-simmondsii	Phylum: Ascomycota	Order: Glomerellales	-75.2518119729938	-76.79588001734407	-42.455931955649724	-88.53760200210104	-119.31875876262441	-143.568636235841	100	-135.7447274948967	-97.0	-54.14874165128092	-136.1249387366083
Species: Colletotrichum-somersetensis	Phylum: Ascomycota	Order: Glomerellales	-75.95860731484177	-76.2839966563652	-41.63827216398241	-88.16749108729377	-119.06550154875643	-122.55284196865779	100	-135.82390874094432	-93.92081875395237	-55.10790539730952	-133.95860731484177
Species: Colletotrichum-sp.	Phylum: Ascomycota	Order: Glomerellales	-75.15490195998575	-77.06048074738138	-42.32790214206428	-88.44369749923271	-118.45593195564973	-55.50863830616573	100	-135.6575773191778	-96.88605664769317	-54.06048074738138	-134.58502665202917
Species: Colletotrichum-sublineola	Phylum: Ascomycota	Order: Glomerellales	-75.48148606012211	-78.02687214640031	-43.0	-87.82390874094432	-119.14874165128093	-119.35654732351381	100	-136.16115090926274	-92.31875876262441	-55.096910013008056	-134.39794000867204
Species: Colletotrichum-tamarilloi	Phylum: Ascomycota	Order: Glomerellales	-75.15490195998575	-76.82390874094432	-42.346787486224656	-88.44369749923271	-118.18708664335715	-54.72124639904717	100	-135.46852108295775	-96.50863830616572	-54.06048074738138	-134.58502665202917
Species: Colletotrichum-tofieldiae	Phylum: Ascomycota	Order: Glomerellales	-75.1249387366083	-136.2441251443275	-68.0	-88.25963731050575	-118.38721614328027	-114.431798275933	100	-136.26760624017703	-96.0	-53.60205999132796	-134.11350927482752
Species: Colletotrichum-tofieldiae	Phylum: Ascomycota	Order: Glomerellales	-75.00436480540245	-75.01772876696043	-41.585026652029185	-88.14266750356873	-118.26760624017703	-114.00436480540245	100	-135.82390874094432	-95.56863623584101	-53.82390874094432	-134.0
Species: Colletotrichum-zoysiae	Phylum: Ascomycota	Order: Glomerellales	-75.95860731484177	-77.4089353929735	-40.85387196432176	-88.65757731917779	-118.7447274948967	-85.03151705144606	100	-136.13076828026902	-93.85387196432177	-55.431798275933005	-133.4436974992327
Species: Coniochaeta-sp.	Phylum: Ascomycota	Order: Coniochaetales	-73.45593195564973	-79.79588001734407	-38.95860731484178	-90.2839966563652	-117.92081875395237	-115.3767507096021	100	-138.4814860601221	-91.10237290870955	-55.38721614328026	-133.95860731484177
Species: Coniosporium-apollinis	Phylum: Ascomycota	Order: Coniosporium - no_f_rank - no_o_rank	-86.50863830616572	-79.58502665202919	-39.769551078621724	-88.65757731917779	-122.4089353929735	-53.481486060122116	100	-136.53760200210104	-89.79588001734407	-51.07572071393812	-141.16749108729377
Species: Conocybe-apala	Phylum: Basidiomycota	Order: Agaricales	-33.20760831050175	-79.27572413039921	-35.10237290870956	-71.23657200643706	0	-27.309803919971486	0	0	0	-56.46852108295774	0
Species: Conidiobolus-coronatus	Phylum: Zoopagomycota	Order: Entomophthorales	-22.657577319177793	-51.60205999132796	-37.481486060122116	-69.85387196432177	0	-20.795880017344075	0	-63.537602002101046	0	-37.619788758288394	-139.38721614328026
Species: Coniochaeta-sp.	Phylum: Ascomycota	Order: Coniochaetales	-72.92081875395237	-81.4089353929735	-42.31875876262441	-89.52287874528034	-116.45593195564973	-69.08618614761629	100	-138.10237290870955	-90.67778070526609	-55.27572413039921	-132.6777807052661
Species: Coniochaeta-ligniaria	Phylum: Ascomycota	Order: Coniochaetales	-72.48148606012211	-78.27572413039921	-39.408935392973504	-90.72124639904717	-118.11350927482752	-60.26760624017703	100	-137.72124639904717	-92.33724216831843	-53.236572006437065	-133.88605664769315
Species: Coniochaeta-ligniaria	Phylum: Ascomycota	Order: Coniochaetales	-72.55284196865779	-78.46852108295775	-39.85387196432176	-90.67778070526609	-117.95860731484177	-58.6575773191778	100	-138.05551732784983	-89.04575749056067	-54.769551078621724	-132.92081875395237
Species: Coniophora-olivacea	Phylum: Basidiomycota	Order: Boletales	-29.82390874094432	-64.82390874094432	-30.443697499232712	-71.25963731050575	0	-24.67778070526608	0	0	0	-42.221848749616356	0
Species: Coniophora-puteana	Phylum: Basidiomycota	Order: Boletales	-28.522878745280337	-73.26760624017703	-32.537602002101046	-70.85387196432177	0	-28.309803919971486	0	-56.60205999132796	0	-39.236572006437065	0
Species: Conidiobolus-thromboides	Phylum: Zoopagomycota	Order: Entomophthorales	-33.20760831050175	-55.10237290870956	-34.88605664769317	-67.4089353929735	0	-14.920818753952375	0	0	0	-38.19382002601611	-134.82390874094432
Species: Coprinellus-angulatus	Phylum: Basidiomycota	Order: Agaricales	-34.88605664769317	-77.4948500216801	-30.657577319177793	-57.31875876262441	0	-16.67778070526608	0	-56.56863623584101	0	-41.1249387366083	0
Species: Coprinopsis-cinerea	Phylum: Basidiomycota	Order: Agaricales	-34.06048074738138	-69.7447274948967	-34.15490195998574	-73.02687214640031	-51.795880017344075	-24.522878745280337	0	-62.25963731050576	0	-52.161150909262744	0
Species: Coprinopsis-cinerea	Phylum: Basidiomycota	Order: Agaricales	-34.2518119729938	-70.0	-33.769551078621724	-73.22184874961636	-52.56863623584101	-24.638272163982407	0	-62.39794000867204	0	-52.356547323513816	0
Species: Coprinopsis-marcescibilis	Phylum: Basidiomycota	Order: Agaricales	-34.74472749489669	-73.10237290870955	-34.481486060122116	-72.29242982390207	0	-22.221848749616356	0	-68.46852108295775	0	-41.356547323513816	0
Species: Coprinellus-micaceus	Phylum: Basidiomycota	Order: Agaricales	-34.920818753952375	-75.7447274948967	-31.167491087293765	-74.72124639904717	0	-23.853871964321762	0	-65.31875876262441	0	-42.56863623584101	0
Species: Coprinellus-pellucidus	Phylum: Basidiomycota	Order: Agaricales	-34.585026652029185	-73.11918640771921	-33.31875876262441	-74.88605664769317	0	-23.522878745280337	0	-65.50863830616572	0	-45.63827216398241	0
Species: Coprinopsis-sclerotiger	Phylum: Basidiomycota	Order: Agaricales	-33.481486060122116	-73.2839966563652	-35.356547323513816	-72.05060999335508	-52.6575773191778	-20.795880017344075	0	-67.14874165128093	0	-50.00436480540245	0
Species: Cortinarius-austrovenetus	Phylum: Basidiomycota	Order: Agaricales	-32.85387196432176	-79.18045606445813	-33.795880017344075	-71.4948500216801	-66.76955107862173	-20.07058107428571	100	-70.72124639904717	0	-53.63827216398241	0
Species: Corynespora-cassiicola	Phylum: Ascomycota	Order: Pleosporales	-78.69897000433602	-80.10237290870955	-39.24412514432751	-90.6197887582884	-117.431798275933	-74.34678748622466	100	-130.95860731484177	-81.4948500216801	-55.031517051446066	-140.6575773191778
Species: Cortinarius-aff.	Phylum: Basidiomycota	Order: Agaricales	-35.20065945054642	-73.39794000867204	-33.88605664769317	-69.35654732351381	0	-20.173925197299173	0	-68.13667713987954	0	-55.920818753952375	0
Species: Cortinarius-glaucopus	Phylum: Basidiomycota	Order: Agaricales	-34.72124639904717	-80.33724216831843	-34.38721614328026	-69.4202164033832	-66.85387196432177	-19.06048074738138	100	-70.85387196432177	0	-54.494850021680094	0
Species: Corollospora-maritima	Phylum: Ascomycota	Order: Microascales	-74.85387196432177	-73.50863830616572	-39.585026652029185	-89.55284196865779	-112.4202164033832	-51.74472749489669	100	-133.45593195564973	-93.6382721639824	-53.38721614328026	-129.72124639904717
Species: Cordyceps-militaris	Phylum: Ascomycota	Order: Hypocreales	-61.55284196865778	-81.65757731917779	-37.09151498112135	-89.60205999132796	-103.55284196865779	-48.795880017344075	100	-125.3767507096021	-75.85387196432177	-45.619788758288394	-131.3767507096021
Species: Boliniaceae-sp.	Phylum: Ascomycota	Order: Boliniales	-78.65757731917779	-82.08092190762393	-41.82390874094432	-87.08092190762393	-117.14266750356873	-76.25963731050575	100	-132.60205999132796	-87.79588001734407	-48.74472749489669	-125.76955107862173
Species: Myceliophthora-similis	Phylum: Ascomycota	Order: Sordariales	-70.11918640771921	-79.6382721639824	-40.88605664769317	-89.13667713987954	-116.82390874094432	-78.30102999566398	100	-137.3565473235138	-84.79588001734407	-54.920818753952375	-131.6777807052661
Species: Crassisporium-funariophilum	Phylum: Basidiomycota	Order: Agaricales	-36.236572006437065	-75.35654732351381	-31.356547323513812	-68.95860731484177	-55.494850021680094	-26.26760624017703	100	-68.67778070526609	0	-57.920818753952375	0
Species: Crepidotus-cesatii	Phylum: Basidiomycota	Order: Agaricales	-34.0268721464003	-75.56863623584101	-35.11918640771921	-71.72124639904717	0	-13.0268721464003	0	-68.35654732351381	0	-56.52287874528034	0
Species: Crepidotus-variabilis	Phylum: Basidiomycota	Order: Agaricales	-33.95860731484178	-77.22184874961636	-34.88605664769317	-70.79588001734407	0	-18.431798275933005	0	-67.52287874528034	0	-56.88605664769317	0
Species: Cristinia-sonorae	Phylum: Basidiomycota	Order: Atheliales	-34.44369749923271	-80.72124639904717	-34.85387196432176	-68.14874165128093	-65.88605664769317	-19.82390874094432	100	-76.4089353929735	0	0	0
Species: Cronartium-quercuum	Phylum: Basidiomycota	Order: Pucciniales	-28.585026652029182	-27.075720713938118	-14.585026652029182	-67.82390874094432	0	-14.173925197299173	0	0	0	-49.920818753952375	0
Species: Crustoderma-dryinum	Phylum: Basidiomycota	Order: Corticiales	-38.070581074285705	-78.24412514432751	-34.920818753952375	-70.95860731484177	-66.15490195998575	-22.167491087293765	100	-69.67778070526609	0	0	0
Species: Crucibulum-laeve	Phylum: Basidiomycota	Order: Agaricales	-32.221848749616356	-80.67778070526609	-35.56863623584101	-72.10790539730952	-69.60205999132796	-36.920818753952375	100	-72.0	0	-57.11918640771921	0
Species: Cryptococcus-curvatus	Phylum: Basidiomycota	Order: Trichosporonales	-31.82390874094432	-22.638272163982407	-13.886056647693163	-66.6382721639824	0	-13.017728766960431	0	0	0	0	0
Species: Cryptococcus-neoformans	Phylum: Basidiomycota	Order: Tremellales	-29.0	-24.0	-14.853871964321762	-69.67778070526609	0	-13.638272163982407	0	0	0	0	0
Species: Cryptococcus-neoformans	Phylum: Basidiomycota	Order: Tremellales	-28.327902142064282	-24.455931955649724	-14.67778070526608	-68.55284196865779	0	-13.657577319177793	0	0	0	0	0
Species: Cryphonectria-parasitica	Phylum: Ascomycota	Order: Diaporthales	-73.26760624017703	-78.58502665202919	-38.88605664769317	-89.431798275933	-115.36653154442041	-55.19382002601611	100	-133.14874165128091	-90.53760200210104	-47.60205999132796	-132.3565473235138
Species: Cryptodiaporthe-populea	Phylum: Ascomycota	Order: Diaporthales	-72.65757731917779	-77.4089353929735	-38.72124639904717	-88.431798275933	-115.10237290870955	-124.85387196432177	100	-136.1079053973095	-90.26760624017703	-51.309803919971486	-129.0705810742857
Species: Cryptodiaporthe-sp.	Phylum: Ascomycota	Order: Diaporthales	-73.38721614328027	-79.82390874094432	-41.39794000867204	-87.88605664769317	-113.7447274948967	-52.55284196865778	100	-137.2441251443275	-91.22184874961636	-50.769551078621724	-130.85387196432177
Species: Cryptococcus-terricola	Phylum: Basidiomycota	Order: Filobasidiales	-30.24412514432751	-24.045757490560675	-15.259637310505756	-69.95860731484177	0	-13.2518119729938	0	-69.79588001734407	0	0	0
Species: Cryptococcus-vishniacii	Phylum: Basidiomycota	Order: Filobasidiales	-30.366531544420415	-24.920818753952375	-13.698970004336019	-69.6382721639824	0	-14.236572006437063	0	0	0	0	0
Species: Cryptococcus-wieringae	Phylum: Basidiomycota	Order: Filobasidiales	-30.769551078621728	-24.744727494896694	-14.619788758288394	-69.32790214206429	0	-13.638272163982407	0	0	0	-46.56863623584101	0
Species: Cucurbitaria-berberidis	Phylum: Ascomycota	Order: Pleosporales	-80.45593195564973	-85.60205999132796	-39.619788758288394	-88.76955107862173	-114.79588001734407	-70.26760624017703	100	-132.06048074738138	-81.22184874961636	-50.214670164989236	-141.568636235841
Species: Cunninghamella-echinulata	Phylum: Mucoromycota	Order: Mucorales	-26.769551078621728	-60.60205999132796	-37.1249387366083	-70.6382721639824	0	-12.920818753952375	0	0	0	0	-129.0
Species: Teichospora-sp.	Phylum: Ascomycota	Order: Pleosporales	-79.4089353929735	-79.14266750356873	-41.14266750356873	-89.3767507096021	-118.13076828026902	-76.06550154875643	100	-123.72124639904717	-82.88605664769317	-54.585026652029185	-136.6197887582884
Species: Cyathus-striatus	Phylum: Basidiomycota	Order: Agaricales	-27.82390874094432	-58.27572413039921	-27.744727494896694	-70.0	0	-33.10237290870956	0	-70.65757731917779	0	-56.72124639904717	0
Species: Cyberlindnera-jadinii	Phylum: Ascomycota	Order: Saccharomycetales	-31.086186147616285	-51.494850021680094	-33.045757490560675	-95.6197887582884	0	-13.920818753952375	0	0	0	0	-118.30102999566398
Species: Cylindrocarpon-olidum	Phylum: Ascomycota	Order: Hypocreales	-67.7447274948967	-82.09151498112135	-40.95860731484178	-89.52287874528034	-111.95860731484177	-67.22914798835785	100	-63.24412514432751	0	-50.67778070526608	-135.0
Species: Cylindrobasidium-torrendii	Phylum: Basidiomycota	Order: Agaricales	-32.795880017344075	-77.56863623584101	-34.88605664769317	-73.4948500216801	-55.31875876262441	-54.494850021680094	100	-69.85387196432177	0	-51.60205999132796	0
Species: Cyphellophora-europaea	Phylum: Ascomycota	Order: Chaetothyriales	-69.95860731484177	-72.53760200210104	-35.619788758288394	-95.95860731484177	-108.20065945054642	-70.38721614328027	100	-134.6382721639824	-85.4948500216801	-49.337242168318426	-137.11350927482752
Species: Cystostereum-murrayi	Phylum: Basidiomycota	Order: Agaricales	-34.24412514432751	-67.6197887582884	-34.585026652029185	-72.88605664769317	0	-23.356547323513812	0	0	0	-49.795880017344075	0
Species: Cytospora-chrysosperma	Phylum: Ascomycota	Order: Diaporthales	-77.16115090926274	-81.2518119729938	-39.17392519729918	-88.65757731917779	-116.02687214640031	-58.337242168318426	100	-134.3187587626244	-91.20065945054642	-51.096910013008056	-105.03151705144606
Species: Cytidiella-melzeri	Phylum: Basidiomycota	Order: Polyporales	-31.82390874094432	-83.6382721639824	-36.119186407719205	-71.72124639904717	-67.16115090926274	-24.045757490560675	100	-76.18045606445813	0	-50.619788758288394	0
